"I want kfc so bad right now I'm prepared to walk there if it wasn't dark and cold",Slightly Positive,Satisfied,Unspecified
"RT @LifeSimplifying: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/106HCmfOSR htt…",,Disgust,Health problems
Just let me know yall i really just want to have movie night with kfc and malibu😋@liluglyy @Vivian_butthead,Slightly Positive,Satisfied,Unspecified
“@FoodPornsx: KFC Chicken. '. http://t.co/bihc5z4sCh”,Slightly Positive,Happy,Unspecified
@pdfkhh i feel u bruh *breaks down in kfc sauce tears*,Neutral,None,Unspecified
"#KFC Sydney. With your meal you receive not only their famous gravy... but MASH IN THE GRAVY TOO! You also receive fries #potatoheaven",Slightly Positive,Excited,Unspecified
"KFC india doing a great stuff for Childs Wow love you KFC ",Highly Positive,Satisfied,Unspecified
This KFC addiction is getting out of hand now 🍗🍟,Slightly Negative,Sad,Unspecified
@jholguin88 and I almost got KFC today. ,Neutral,Satisfied,Unspecified
Seeking for cream soup due to problem with my own tooth😷👄 (at KFC Sanur) — https://t.co/OtMvdckQon,,Dissatisfied,Unspecified
"i want some PopEyes or KFC but i just got home from work out the shower and i dont feel like going back out 😭",Neutral,Satisfied,Unspecified
RT @Soulciable: “@AtsushiMySushi: “@Soulciable: Kaneki Fried Chicken”the new KFC”;),Neutral,Happy,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Slightly Positive,Satisfied,Unspecified
I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. See Rules https://t.co/bBmhQ8p3Y1,Neutral,Satisfied,Unspecified
My bucket list is at kfc.,Slightly Positive,Happy,Unspecified
RT @BLACKTWITRVINES: THE FUCK YOU MEAN KFC RAN OUT OF CHICKEN?! http://t.co/mnQ3FPKC2R,Very Negative,Angry,Small quantity of food
Yes I am ill but we are pulling into kfc services and I'm going to make use of this. 🐗,Slightly Positive,Satisfied,Unspecified
RT @makaylaowenss: I could go for some KFC right now,Slightly Positive,Excited,Unspecified
RT @yeojasu: Welcome kfc!! @MB_RSJ97 @JushEvoL @namtjax @gotkayee @SKY_LunaFX @pimthsa @kidmyung @yeojaxsi @keimkty @krsjng @ohsehunaexo,Slightly Positive,Satisfied,Unspecified
@dZ_Anms KFC is awful!!!,Very Negative,Disgust,Unspecified
Guess what I ate for dinner today ?,Neutral,Excited,Unspecified
This nigga never wanna share shit knowing damn well KFC is a nigga favorite. @jwebb7652207 http://t.co/R03I0UPSkb,Slightly Negative,Angry,Unspecified
"I need some mash potatoes from kfc 😩 yesNEED!",Slightly Positive,Excited,Unspecified
RT @athashaazhari: I am here for KFC but Sembawang SunPlaza KFC concept is different from others.Ala-ala cafe.Saya kasi 🌟🌟🌟🌟🌟 bintang. http…,Highly Positive,Excited,Unspecified
Old people love Kfc 😭,Slightly Positive,Happy,Unspecified
My wish finally came true. KFC accidentally gave me two twisters when I ordered and paid for only one.,Highly Positive,Happy,Unspecified
Valciticare - Sm val - KFC - Heartstrings -Icecreamstore - South jgh w/daddeeey love ❤❤❤ #busog #bonding,Neutral,Satisfied,Unspecified
"RT @SH2jKIMs2o8: [★SCAN] KFC : EXO Postcards - #Chanyeol  #Sehun cr: exo_zg http://t.co/tZx93AqCV1",Neutral,None,Unspecified
#vote5sos #k…,Neutral,Satisfied,Unspecified
"Gd wee nap now for a kfc fridaysssss 😋",Slightly Positive,Happy,Unspecified
@machiavellino kfc gets em hugemongous. can attest,Slightly Negative,Angry,Unspecified
I LOVE KFC IDC WHAT YALL THINK I LOVE ME SOME CHICKKEEENNNNNNN,Highly Positive,Happy,Unspecified
@JCHonorioPedro @WismerTrashCry @srhbutts,Neutral,None,Unspecified
RT @OMGFacts: Only two people at KFC know the secret recipe of 11 herbs &amp; spices and they are not allowed to travel together for security r…,Slightly Negative,Dissatisfied,Poor customer service
"“@winwild12: Did anyone else's house just shake....”I heard it too a house had an explosion behind KFC and Harley Davidson",Neutral,None,Unspecified
"Yah neh ""@ZamorePlatinum: Nc nc nc nc nc this Twitter thing ""@_Kagistian07: We Can't Date If You Eat KFC Before 12""""",Neutral,None,Unspecified
@DarthLush KFC WATERMELOWN GRAPE SODA KOOL AID,Slightly Positive,Happy,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Neutral,None,Unspecified
UPDATE 3-One killed in attack on KFC restaurant north of Cairo-report http://t.co/KY3UmZjDrw,Very Negative,Sad,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/bJ2Kh1exNV",Highly Positive,Happy,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules http://t.co/ZMZF1pemHK",Slightly Positive,Excited,Unspecified
Craving kfc,Highly Positive,Excited,Unspecified
Kfc with the gang 👌 http://t.co/4lUxemvQ5o,Neutral,Satisfied,Unspecified
RT ~ KFC Yum!,Slightly Positive,Happy,Unspecified
Want to go for a kfc run but also want to be fit..decisions decisionssss,Slightly Positive,Satisfied,Unspecified
“@FoodPornsx: KFC Chicken. '. http://t.co/EkbzhCxhDI”,Slightly Positive,Satisfied,Unspecified
"I have had KFC twice in 2 days not good considering I had mc Donald's KFC and chippy twice last week",Very Negative,Satisfied,Unspecified
"""@x_Niecee2Fresh: woke up out my sleep finna eat this kfc &amp; watch twilight.""hml",Slightly Positive,Happy,Unspecified
I will be open from Midday until 9pm.,Neutral,Satisfied,Unspecified
Had a good lunch @kfc while my car is being worked on.. #ItsAllFantastical! 😋,Slightly Positive,Dissatisfied,Unspecified
I want bojangles w/ a tea from KFC,Slightly Positive,Satisfied,Unspecified
no one can ever like me bc i'm dating kfc so fuck off,Slightly Negative,Dissatisfied,Unspecified
RT @OMGFacts: Only two people at KFC know the secret recipe of 11 herbs &amp; spices and they are not allowed to travel together for security r…,Neutral,None,Unspecified
finally getting my kfc 😍😍😍,Slightly Positive,Happy,Unspecified
Had a kfc for lunch now am having a chinese #fatprobs 🐷🐳,Slightly Negative,Dissatisfied,Unhealthy Food
I want some kfc 😭😭 the chicken &amp; the potatoe wages are good af,Highly Positive,Satisfied,Unspecified
"RT @KFC_SG: Enjoy Singapore’s favourite KFC Meal at just $5! So Shiok #sogood! http://t.co/Sps9OoHjah",Neutral,Satisfied,Unspecified
RT @kfc: @Letnekable The only thing better than a trip to KFC is TWO trips to KFC! #Round2,Highly Positive,Happy,Unspecified
@Charlotte78x haha. How was your posh KFC x,Neutral,None,Unspecified
"I liked a @YouTube video from @kfc http://t.co/jCVSolnakZ KFC Popcorn Nuggets ""Outraged Kids"" Commercial",Slightly Positive,Happy,Unspecified
Spice girls song is being played in KFC.. My morning is already awesome!!,Slightly Positive,Happy,Unspecified
"RT @KFC_SG: Enjoy Singapore’s favourite KFC Meal at just $5! So Shiok #sogood! http://t.co/Sps9OoHjah",Neutral,None,Unspecified
My grandma woke me to tell me she bought all kinds of chicken from kfc...I HATE CHICKEN YOU WOKE A VEGAN TO TELL HER YOU HAVE CHICKEN WTF,Slightly Negative,Dissatisfied,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Highly Positive,Excited,Unspecified
@punkpevensies you're adorable omg &lt;3 &lt;3 &lt;3 &lt;3 &lt;3 i don't know how good kfc is but i'm glad i compare ^-^,Slightly Positive,Satisfied,Unspecified
RT @idkbeckyy: ashton in every appreciation speech:,Neutral,Satisfied,Unspecified
Those new KFC popcorn Nuggets are the TRUTH!,Slightly Positive,Excited,Unspecified
RT @sooni999: @kfc ,Neutral,Satisfied,Unspecified
@TatsNmore504 @TheSnortherner   KFC original recipe?,Neutral,Excited,Unspecified
@sorryimalex why so you can get KFC,Slightly Positive,Satisfied,Unspecified
"RT @KFC_SG: Enjoy Singapore’s favourite KFC Meal at just $5! So Shiok #sogood! http://t.co/Sps9OoHjah",Slightly Positive,Satisfied,Unspecified
This girl just pulled out some KFC wings from her bag😂😂😂😂😂😂,Slightly Positive,Happy,Unspecified
"""If it weren't for you guys I would've still been stuck working at kfc""",Slightly Negative,Dissatisfied,Unspecified
RT @jstchillwhitt: How Tf ? KFC in jamaica the best thing ever 😩😊😍,Highly Positive,Excited,Unspecified
RT @_jaaasminnne_: I think I'm going to die if I do not get some KFC popcorn chicken 😕,Highly Positive,Excited,Unspecified
NKOTB tickets for Jun 7 at KFC Yum! Center http://t.co/7mmAkISi9j in Louisville KY #nkotb #maineventtour #newkidsontheblock,Highly Positive,Happy,Unspecified
KFC is donating money towards breast cancer. They don't want anything killing their customers except heart disease.,Very Negative,Dissatisfied,Unhealthy Food
RT @rpt62960: KFC meals contain mystery organs from tormented chickens - http://t.co/gWRfCSIJKC http://t.co/qAA5HfF6Ay via @HealthRanger,Neutral,Disgust,Tormented meat used
KFC is looking for a KFC Restaurant General Manager in Ontario #jobs http://t.co/IqdVujEtOF http://t.co/5UzOd6Na7J,Neutral,None,Unspecified
Jadine Bacoor Overload,Neutral,Excited,Unspecified
KFC meals contain mystery organs from torment…  - http://t.co/E4ahBPpUk3,Slightly Positive,Dissatisfied,Tormented meat used
the kfc original fried chicken recipe : http://t.co/dLCNYtTcJP #yummy #food #recipes #recipe #cake  #pizza,Slightly Positive,Happy,Unspecified
I'm in need of a Maccies or a KFC today😩😪,Slightly Positive,Sad,Unspecified
#KFC aims to out-coffee #Starbucks in #China with lower-cost ‘premium’ brew http://t.co/eR2MjAKUwQ #coffee #business #localization,Neutral,Satisfied,Unspecified
NeuvooAustin: New #job opening at KFC in #Austin - #KFC #Restaurant General Manager #jobs http://t.co/NmAcCYIABd,Neutral,Satisfied,Unspecified
Ive been told no kfc😔,Slightly Negative,Sad,Unspecified
Damn my sister was called to come to KFC auditions but she didn't make it cause she's sick form chickenpocks mxm http://t.co/DRSMEy9xOZ,Neutral,Dissatisfied,Unspecified
RT @BabyTaee: i Hate KFC,Slightly Negative,Angry,Unspecified
I got kfc,Neutral,None,Unspecified
https://t.co/gouO11VIb1” us tomorrow @12DanielBecerra,Slightly Positive,Satisfied,Unspecified
I could do with that KFC Pepsi in a cup  right now.,Neutral,None,Unspecified
Fav ~ KFC Yum! http://t.co/J3J9IlwjQ2,Slightly Positive,Happy,Unspecified
RT @JudyJooChef: #KFC means #KoreanFriedChicken to me! You can find the recipe on my website!,Slightly Negative,None,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules http://t.co/Ld99aFKEyh",Slightly Positive,Excited,Unspecified
"RT @BondedByMetal: I always eat from Kfc and no. I never got stomach pain or diarrhea.",Slightly Positive,Satisfied,Unhealthy Food
At KFC drive-thru,Neutral,None,Unspecified
"RT @LifeSimplifying: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/106HCmfOSR htt…",Very Negative,Dissatisfied,Unhealthy Food
I CAN MAKE KFC OUT OF RAW CHICKEN KID,Neutral,Happy,Unspecified
"You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/B4d9p5H2Rj http://t.co/dMs7pg7rL8",Very Negative,Angry,Unhealthy Food
In que at KFC for Ancaster Drive Scartho,Neutral,Satisfied,Unspecified
RT @kitkat_ph: The new KIT KAT® Krush made with real KIT KAT® bits is now available in all KFC Branches nationwide for only Php 70! http://…,Neutral,None,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/MLxodWxD22",Highly Positive,Happy,Unspecified
"That so  &gt;&gt;&gt;&gt; @kfc  edible cup....",Slightly Positive,Satisfied,Unspecified
Watching @LookingHBO and they're having KFC. I want some now,Slightly Positive,Excited,Unspecified
RT @deliciousfood14: KFC Fried Chicken http://t.co/TIq5lgJ4zU,Neutral,Satisfied,Unspecified
"A Tier: Wendys KFC",Neutral,None,Unspecified
"I bought kfc kinder chocolate and more alcohol. Hell yesssss",Slightly Positive,Satisfied,Unspecified
"@KFCinKenya I have a complain about KFC drive thru on Mombasa Road where can I address it? Am not a happy customers.",Slightly Negative,Dissatisfied,Unavailability of KFC in a region
Now he's Mr KFC.,Neutral,None,Unspecified
okay casey knows her bestpals when she feels the need to tell me and gina on the gc that kfc is open,Slightly Positive,Satisfied,Unspecified
"Not really a KFC person  but shit I was hungry lol .",Slightly Positive,Happy,Unspecified
"""It will be like a taco inside a taco within a Taco Bell that's inside a KFC within a mall that's inside your dream""",Neutral,Satisfied,Unspecified
"RT @fergie_spuds: When he got there 9 other people were there along with KFC refreshments etc",Neutral,None,Unspecified
RT @ColbyMariee: Get it together KFC http://t.co/IEoJjxv8m5,Slightly Positive,Satisfied,Unspecified
“@FoodPornsx: KFC Chicken. '. http://t.co/bihc5z4sCh”,Neutral,Satisfied,Unspecified
“@FoodPornsx: KFC Chicken. '. http://t.co/bihc5z4sCh”,Slightly Positive,Excited,Unspecified
home from school &amp; kfc.. off to cavite http://t.co/M28j5Ja4T5,Neutral,Happy,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/RyWfNxgNc4",Slightly Positive,Excited,Unspecified
@GavStaceyReacts @jogoode_10  this used to be us on KFC Tuesdays :'(,Slightly Negative,Sad,Unspecified
RT @GracieSamuels: 'Breaking news' (satire) #ChickenDave is being sponsored by KFC! http://t.co/ydPl6CCkCp,Neutral,Satisfied,Unspecified
@Kylla_Cam don't nobody want them baked apple pies! Gotta go to KFC to get the fried ones,Slightly Positive,Satisfied,Unspecified
Dinner 😘👫🍴🍟 (with Parama and CMB at KFC Kantor Pos Besar) — https://t.co/Fs8PxnoG4u,Slightly Positive,None,Unspecified
RT @samhateschicken: I am half naked sweaty and dizzy sitting outside a KFC. Tellcme I'm gonna be ok,Slightly Negative,Disgust,Unspecified
"Y'all the KFC in Australia has chicken nuggets burgers and they serve breakfast. #whet",Slightly Positive,Satisfied,Unspecified
KFC; MC OR NANDOS ?xxx,Slightly Positive,Excited,Unspecified
He gave his heart to the woman he loves and I can't even get bae to buy me a KFC snack box :(,Slightly Negative,Dissatisfied,Unspecified
"RT @ze_phill: A beggar with a choice&gt;&gt;&gt;&gt;""@HazelMuriro: I want chicken...kfc related events""",Slightly Positive,Excited,Unspecified
You have to be working KFC and give her free chicken to get into @AinkaNarine heart!,Neutral,None,Unspecified
RT @ItsFoodPorn: KFC Double Down http://t.co/ltXVu90gkv,Slightly Positive,Satisfied,Unspecified
YAY KFC,Slightly Negative,Disgust,Unspecified
#work#colleague#kfc#chicken#and#chips https://t.co/rtT8hiSpxu,Slightly Positive,Satisfied,Unspecified
What type of chicken do you like @David_Cameron? @kfc or @NandosUK! http://t.co/6tJMmkjg3n,Neutral,Excited,Unspecified
RT @BLACKTWITRVINES: THE FUCK YOU MEAN KFC RAN OUT OF CHICKEN?! http://t.co/mnQ3FPKC2R,Slightly Negative,Angry,Unspecified
RT @cmacvi: That new KFC advert is absolutely dreadful,Very Negative,Disgust,Unspecified
#ad KFC Popcorn Nuggets are 100% white meat chicken #KFCPopcornNuggets #BH http://t.co/T1tK1kuftH,Neutral,Satisfied,Unspecified
@Bhavnaaaaaar You usually can. If you contact our customer team they should be able to answer you. http://t.co/CQ6wRMgGBH,Neutral,None,Unspecified
Supporting the non-catholic food establishment by destroying some KFC tonight. They need business too.,Slightly Negative,Sad,Unspecified
Introducing the scoffee cup. @KFC's edible answer to throwaway coffee cups http://t.co/GXBuCVKPYE,Slightly Negative,Dissatisfied,Unspecified
"RT @LifeSimplifying: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/106HCmfOSR htt…",Neutral,Excited,Unspecified
Why am I craving KFC 😰,Slightly Positive,Happy,Unspecified
@1KEV_x @_tyarashhellee work at kfc &amp; give me free food 😕,Neutral,Happy,Unspecified
"@KacieMcDonnell @KFCBarstool B-Marsh now this? Everything coming up KFC-views!",Neutral,Satisfied,Unspecified
I never ate from KFC,Slightly Negative,Dissatisfied,Unspecified
KFC; MC OR NANDOS ?xx,Slightly Positive,None,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/RiVkvUQzXo",Highly Positive,Happy,Unspecified
"RT @LifeSimplifying: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this http://t.co/106HCmfOSR htt…",Very Negative,Disgust,Unspecified
RT @MeechOnMars: kfc chicken taste like old grease and stomach pains,Very Negative,Disgust,Unhealthy Food
@TheAlphaChris @d_schesser @Sneakerhead765 bringing a bucket of kfc,Neutral,None,Unspecified
okay is this ballad about ashton's job at kfc reminiscing on the tender thighs he touched all day  #tendersos,Neutral,None,Unspecified
RT @MassDeception1: KFC meals contain mystery organs from tormented chickens,Very Negative,Disgust,Unhealthy Food
"Kfc delivery man  please come faster 😭",Slightly Positive,Excited,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/DefLEsKIav",Slightly Positive,Happy,Unspecified
@Shaa__Money that box of Popeyes or kfc😋,Neutral,Happy,Unspecified
@IamSharkyz fried chicken? steamed chicken? grilled chicken? kfc 2 pc chicken with add cheese fries hahahahahaha,Slightly Positive,Happy,Unspecified
@Kev__42st @T_Tmommy ared when you coming ? I hate kfc chicken,Very Negative,Disgust,Unspecified
RT @ItsFoodPorn: KFC Double Down http://t.co/ltXVu90gkv,Slightly Positive,Excited,Unspecified
"I just entered the PEOPLE KFC Nuggets of Wisdom Sweepstakes. Enter and I may even get a bonus entry thx! See Rules https://t.co/vy6rBhmOD5",Slightly Positive,Satisfied,Unspecified
"RT @IdeasUnlock: You'll never eat again from Dominos McDonald The Burger King or KFC after looking at this:http://t.co/j8is5FsCwZ http://…",Very Negative,Sad,Unhealthy Food
RT @Anthony3163: “@OhshitErik: Just bunned 2 shorties and bought a Go Cup from KFC 😩😋”,Neutral,Excited,Unspecified
"RT @SH2jKIMs2o8: [★SCAN] KFC : EXO Postcards - #Chanyeol  #Sehun cr: exo_zg http://t.co/tZx93AqCV1",Neutral,Satisfied,Unspecified
@___t4ms I did but moved to KFC LOL,Slightly Negative,Satisfied,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Slightly Positive,Happy,Unspecified
@Mimilicious_x 😂😂 you might aswell dress up when you go kfc,Neutral,Disgust,Unspecified
RT @tombartley_: I went out the room to make a drink and came back to find my 21 y.o sister had dressed the dog in my kfc uniform http://t.…,Slightly Negative,Dissatisfied,Unspecified
We need a Halal KFC in bburn .. that won't be shut down by racist scum 😒😒,Highly Positive,Angry,Unspecified
@YoungSnappx3 It's to late to be cooking. I need something like Kfc😩 but I won't be getting it cause my mom at work.,Neutral,Dissatisfied,Unspecified
My room mate had a bucket of KFC in the fridge for over a month ,Neutral,Excited,Unspecified
"Mum just came home with KFC she wins MVP",Slightly Positive,Happy,Unspecified
I don't like KFC despite me being black..,Slightly Negative,Dissatisfied,Unspecified
